"Year","Plot","Tag","Taxon","X..cm.","Y..cm.","Tag.offset.x","Tag.offset.y","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Died.this.census.final","Length..cm..prev","Growth","Survival","Is.recruit"
2016,"46","1004*A","Carex siccata",165,170,-10,-10,11,14,0,0,0,8,3,1,0
2017,"46","1004*A","Carex siccata",165,170,-10,-10,0,0,0,0,1,11,-11,0,0
2014,"46","1006*A","Carex siccata",180,170,0,0,6,10,0,0,0,NA,NA,1,NA
2015,"46","1006*A","Carex siccata",180,170,0,0,9,9,0,0,0,6,3,1,0
2016,"46","1006*A","Carex siccata",180,170,0,0,18,12,0,0,0,9,9,1,0
2017,"46","1006*A","Carex siccata",180,170,0,0,0,0,0,0,1,18,-18,0,0
2014,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,15,21,4,0,0,NA,NA,1,NA
2015,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,19,17,0,0,0,15,4,1,0
2016,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,24,28,7,0,0,19,5,1,0
2017,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,7,8,0,0,0,24,-17,1,0
2018,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,21,23,7,0,0,7,14,1,0
2019,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,33,25.5,11,0,0,21,12,1,0
2020,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,31,19,2,0,0,33,-2,1,0
2021,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,29,27,17,0,0,31,-2,1,0
2022,"46","1007*A","Elymus lanceolatus",170,168,-10,-10,32,29.5,5,0,0,29,3,1,0
2014,"46","1008*A","Carex siccata",185,185,0,2,13,20,2,0,0,NA,NA,1,NA
2015,"46","1008*A","Carex siccata",185,185,0,2,16,12,5,0,0,13,3,1,0
2016,"46","1008*A","Carex siccata",185,185,0,2,11,17,0,0,0,16,-5,1,0
2017,"46","1008*A","Carex siccata",185,185,0,2,14,14,1,0,0,11,3,1,0
2018,"46","1008*A","Carex siccata",185,185,0,2,26,18,0,0,0,14,12,1,0
2019,"46","1008*A","Carex siccata",185,185,0,2,8,4.5,0,0,0,26,-18,1,0
2020,"46","1008*A","Carex siccata",185,185,0,2,0,0,0,0,1,8,-8,0,0
2014,"46","1009*A","Carex siccata",180,178,-5,-5,8,14,0,0,0,NA,NA,1,NA
2015,"46","1009*A","Carex siccata",180,178,-5,-5,9,17,2,0,0,8,1,1,0
2016,"46","1009*A","Carex siccata",180,178,-5,-5,25,16,4,0,0,9,16,1,0
2017,"46","1009*A","Carex siccata",180,178,-5,-5,20,8,0,0,0,25,-5,1,0
2018,"46","1009*A","Carex siccata",180,178,-5,-5,2,1,0,0,0,20,-18,1,0
2019,"46","1009*A","Carex siccata",180,178,-5,-5,5.5,11,0,0,0,2,3.5,1,0
2020,"46","1009*A","Carex siccata",180,178,-5,-5,4,9.5,0,0,0,5.5,-1.5,1,0
2021,"46","1009*A","Carex siccata",180,178,-5,-5,0,0,0,0,1,4,-4,0,0
2014,"10","101*A","Lupinus argenteus",70,45,-10,-10,23,12,7,0,0,NA,NA,1,NA
2015,"10","101*A","Lupinus argenteus",70,45,-10,-10,17,11.5,3,0,0,23,-6,1,0
2016,"10","101*A","Lupinus argenteus",70,45,-10,-10,15.5,12.5,2,0,0,17,-1.5,1,0
2017,"10","101*A","Lupinus argenteus",70,45,-10,-10,0,0,0,0,1,15.5,-15.5,0,0
2014,"46","1010*A","Carex siccata",160,180,-10,-10,12,14,1,0,0,NA,NA,1,NA
2015,"46","1010*A","Carex siccata",160,180,-10,-10,12,21,0,0,0,12,0,1,0
2016,"46","1010*A","Carex siccata",160,180,-10,-10,11,12,0,0,0,12,-1,1,0
2017,"46","1010*A","Carex siccata",160,180,-10,-10,9,7,0,0,0,11,-2,1,0
2018,"46","1010*A","Carex siccata",160,180,-10,-10,0,0,0,0,1,9,-9,0,0
2014,"46","1011*A","Carex siccata",150,185,0,-5,16,11,0,0,0,NA,NA,1,NA
2015,"46","1011*A","Carex siccata",150,185,0,-5,17,20,0,0,0,16,1,1,0
2016,"46","1011*A","Carex siccata",150,185,0,-5,8,10,0,0,0,17,-9,1,0
2017,"46","1011*A","Carex siccata",150,185,0,-5,13,6,0,0,0,8,5,1,0
2018,"46","1011*A","Carex siccata",150,185,0,-5,5.5,9,0,0,0,13,-7.5,1,0
2019,"46","1011*A","Carex siccata",150,185,0,-5,0,0,0,0,1,5.5,-5.5,0,0
2014,"46","1012*A","Ivesia gordonii",155,190,-10,-10,5,4,0,0,0,NA,NA,1,NA
2015,"46","1012*A","Ivesia gordonii",155,190,-10,-10,9,6,0,0,0,5,4,1,0
2016,"46","1012*A","Ivesia gordonii",155,190,-10,-10,16,7,24,0,0,9,7,1,0
2017,"46","1012*A","Ivesia gordonii",155,190,-10,-10,0,0,0,0,1,16,-16,0,0
2014,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,10,1,0,0,0,NA,NA,1,NA
2015,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,10,2,2,0,0,10,0,1,0
2016,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,11,3,2,0,0,10,1,1,0
2017,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,10,2,4,0,0,11,-1,1,0
2018,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,10,1.5,3,0,0,10,0,1,0
2019,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,10,1.5,0,0,0,10,0,1,0
2020,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,9,2.5,3,0,0,10,-1,1,0
2021,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,8.5,1.5,0,0,0,9,-0.5,1,0
2022,"46","1014*A","Eriogonum umbellatum",100,175,-10,-10,6,2,0,0,0,8.5,-2.5,1,0
2014,"46","1015*A","Eriogonum umbellatum",80,175,-10,-10,3,1,0,0,0,NA,NA,1,NA
2015,"46","1015*A","Eriogonum umbellatum",80,175,-10,-10,3,2,0,0,0,3,0,1,0
2016,"46","1015*A","Eriogonum umbellatum",80,175,-10,-10,3,1.5,0,0,0,3,0,1,0
2017,"46","1015*A","Eriogonum umbellatum",80,175,-10,-10,1.5,1.5,0,0,0,3,-1.5,1,0
2018,"46","1015*A","Eriogonum umbellatum",80,175,-10,-10,0,0,0,0,1,1.5,-1.5,0,0
2014,"46","1017*A","Heterotheca villosa",120,145,-2,-10,40,7,23,0,0,NA,NA,1,NA
2015,"46","1017*A","Heterotheca villosa",120,145,-2,-10,35,8,13,0,0,40,-5,1,0
2016,"46","1017*A","Heterotheca villosa",120,145,-2,-10,45,8,79,0,0,35,10,1,0
2017,"46","1017*A","Heterotheca villosa",120,145,-2,-10,38,6,44,0,0,45,-7,1,0
2018,"46","1017*A","Heterotheca villosa",120,145,-2,-10,0,0,0,0,1,38,-38,0,0
2014,"46","1018*A","Eriogonum umbellatum",130,135,-10,-2,0.5,0.5,0,0,0,NA,NA,1,NA
2015,"46","1018*A","Eriogonum umbellatum",130,135,-10,-2,1,0.5,0,0,0,0.5,0.5,1,0
2016,"46","1018*A","Eriogonum umbellatum",130,135,-10,-2,7,2,0,0,0,1,6,1,0
2017,"46","1018*A","Eriogonum umbellatum",130,135,-10,-2,1.5,2,0,0,0,7,-5.5,1,0
2018,"46","1018*A","Eriogonum umbellatum",130,135,-10,-2,0,0,0,0,1,1.5,-1.5,0,0
2014,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,2,1,0,0,0,NA,NA,1,NA
2015,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,3,1.5,0,0,0,2,1,1,0
2016,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,1.5,1,0,0,0,3,-1.5,1,0
2017,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,2,1,0,0,0,1.5,0.5,1,0
2018,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,2.5,1,0,0,0,2,0.5,1,0
2019,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,0,0,0,0,0,2.5,-2.5,1,0
2020,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,1.8,2,0,0,0,0,1.8,1,0
2021,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,1.8,0.5,0,0,0,1.8,0,1,0
2022,"46","1019*A","Eriogonum umbellatum",133,143,-10,-10,0,0,0,0,0,1.8,-1.8,1,0
2014,"10","102*A","Lupinus argenteus",60,40,-10,-10,8,5,0,0,0,NA,NA,1,NA
2015,"10","102*A","Lupinus argenteus",60,40,-10,-10,5,7,0,0,0,8,-3,1,0
2016,"10","102*A","Lupinus argenteus",60,40,-10,-10,0,0,0,0,1,5,-5,0,0
2014,"46","1020*A","Carex siccata",27,127,-10,-10,14,11,0,0,0,NA,NA,1,NA
2015,"46","1020*A","Carex siccata",27,127,-10,-10,15,15,1,0,0,14,1,1,0
2016,"46","1020*A","Carex siccata",27,127,-10,-10,10,12,0,0,0,15,-5,1,0
2017,"46","1020*A","Carex siccata",27,127,-10,-10,17,8,0,0,0,10,7,1,0
2018,"46","1020*A","Carex siccata",27,127,-10,-10,14,12,0,0,0,17,-3,1,0
2019,"46","1020*A","Carex siccata",27,127,-10,-10,15,14,0,0,0,14,1,1,0
2020,"46","1020*A","Carex siccata",27,127,-10,-10,8.5,7.5,0,0,0,15,-6.5,1,0
2021,"46","1020*A","Carex siccata",27,127,-10,-10,11.5,11.5,0,0,0,8.5,3,1,0
2022,"46","1020*A","Carex siccata",27,127,-10,-10,0,0,0,0,0,11.5,-11.5,1,0
2014,"46","1021*A","Carex siccata",35,120,-10,-10,11,12,0,0,0,NA,NA,1,NA
2015,"46","1021*A","Carex siccata",35,120,-10,-10,10,8,1,0,0,11,-1,1,0
2016,"46","1021*A","Carex siccata",35,120,-10,-10,5,7,0,0,0,10,-5,1,0
2017,"46","1021*A","Carex siccata",35,120,-10,-10,0,0,0,0,1,5,-5,0,0
2014,"46","1022*A","Carex siccata",34,113,-3,-2,17,12,0,0,0,NA,NA,1,NA
2015,"46","1022*A","Carex siccata",34,113,-3,-2,16,12,1,0,0,17,-1,1,0
2016,"46","1022*A","Carex siccata",34,113,-3,-2,8,12,0,0,0,16,-8,1,0
2017,"46","1022*A","Carex siccata",34,113,-3,-2,13,13,0,0,0,8,5,1,0
2018,"46","1022*A","Carex siccata",34,113,-3,-2,15,12,0,0,0,13,2,1,0
2019,"46","1022*A","Carex siccata",34,113,-3,-2,5,5.5,0,0,0,15,-10,1,0
2020,"46","1022*A","Carex siccata",34,113,-3,-2,1.5,4.5,0,0,0,5,-3.5,1,0
2021,"46","1022*A","Carex siccata",34,113,-3,-2,0,0,0,0,1,1.5,-1.5,0,0
2014,"47","1023*A","Lupinus argenteus",95,55,-10,-10,4,2,0,0,0,NA,NA,1,NA
2015,"47","1023*A","Lupinus argenteus",95,55,-10,-10,5.5,3,0,0,0,4,1.5,1,0
2016,"47","1023*A","Lupinus argenteus",95,55,-10,-10,0,0,0,0,1,5.5,-5.5,0,0
2014,"49","1024*A","Lupinus argenteus",35,108,-10,-10,9,5,0,0,0,NA,NA,1,NA
2015,"49","1024*A","Lupinus argenteus",35,108,-10,-10,9,6,0,0,0,9,0,1,0
2016,"49","1024*A","Lupinus argenteus",35,108,-10,-10,0,0,0,0,1,9,-9,0,0
2014,"49","1025*A","Lupinus argenteus",45,90,-10,-10,11,11,1,0,0,NA,NA,1,NA
2015,"49","1025*A","Lupinus argenteus",45,90,-10,-10,7,4,0,0,0,11,-4,1,0
2016,"49","1025*A","Lupinus argenteus",45,90,-10,-10,0,0,0,0,1,7,-7,0,0
2014,"49","1026*A","Lupinus argenteus",50,95,-10,-10,9,7,0,0,0,NA,NA,1,NA
2015,"49","1026*A","Lupinus argenteus",50,95,-10,-10,0,0,0,0,1,9,-9,0,0
2014,"49","1027*A","Lupinus argenteus",80,85,-10,-10,11,5,0,0,0,NA,NA,1,NA
2015,"49","1027*A","Lupinus argenteus",80,85,-10,-10,0,0,0,0,1,11,-11,0,0
2014,"49","1028*A","Lupinus argenteus",95,5,-10,-10,2,2,0,0,0,NA,NA,1,NA
2015,"49","1028*A","Lupinus argenteus",95,5,-10,-10,0,0,0,0,1,2,-2,0,0
2014,"49","1029*A","Lupinus argenteus",0,108,0,10,14,6,0,0,0,NA,NA,1,NA
2015,"49","1029*A","Lupinus argenteus",0,108,0,10,11,8,0,0,0,14,-3,1,0
2016,"49","1029*A","Lupinus argenteus",0,108,0,10,0,0,0,0,1,11,-11,0,0
2014,"10","103*A","Lupinus argenteus",80,60,-10,-10,8,7,0,0,0,NA,NA,1,NA
2015,"10","103*A","Lupinus argenteus",80,60,-10,-10,0,0,0,0,0,8,-8,1,0
2016,"10","103*A","Lupinus argenteus",80,60,-10,-10,2.7,6,0,0,0,0,2.7,1,0
2017,"10","103*A","Lupinus argenteus",80,60,-10,-10,0,0,0,0,1,2.7,-2.7,0,0
2014,"49","1030*A","Lupinus argenteus",160,35,-10,-10,15,5,0,0,0,NA,NA,1,NA
2015,"49","1030*A","Lupinus argenteus",160,35,-10,-10,1,1,0,0,0,15,-14,1,0
2016,"49","1030*A","Lupinus argenteus",160,35,-10,-10,0,0,0,0,1,1,-1,0,0
2014,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,36,2,29,0,0,NA,NA,1,NA
2015,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,41,2,34,0,0,36,5,1,0
2016,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,37,2,29,0,0,41,-4,1,0
2017,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,37,3,17,0,0,37,0,1,0
2018,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,16,3,2,0,0,37,-21,1,0
2019,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,19,4.9,23,0,0,16,3,1,0
2020,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,22,3,5,0,0,19,3,1,0
2021,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,23.5,2,20,0,0,22,1.5,1,0
2022,"49","1031*A","Eriogonum umbellatum",76,151,-10,-10,25,3,15,0,0,23.5,1.5,1,0
2014,"49","1032*A","Heterotheca villosa",55,195,-10,-10,28,8,15,0,0,NA,NA,1,NA
2015,"49","1032*A","Heterotheca villosa",55,195,-10,-10,29,7,12,0,0,28,1,1,0
2016,"49","1032*A","Heterotheca villosa",55,195,-10,-10,12,2,0,0,0,29,-17,1,0
2017,"49","1032*A","Heterotheca villosa",55,195,-10,-10,13,6.5,2,0,0,12,1,1,0
2018,"49","1032*A","Heterotheca villosa",55,195,-10,-10,0,0,0,0,1,13,-13,0,0
2014,"50","1033*A","Ivesia gordonii",5,5,0,-10,16,5,0,0,0,NA,NA,1,NA
2015,"50","1033*A","Ivesia gordonii",5,5,0,-10,18,5,31,0,0,16,2,1,0
2016,"50","1033*A","Ivesia gordonii",5,5,0,-10,18,6,26,0,0,18,0,1,0
2017,"50","1033*A","Ivesia gordonii",5,5,0,-10,0,0,0,0,1,18,-18,0,0
2014,"50","1034*A","Ivesia gordonii",10,15,10,0,12,3,0,0,0,NA,NA,1,NA
2015,"50","1034*A","Ivesia gordonii",10,15,10,0,15,3,11,0,0,12,3,1,0
2016,"50","1034*A","Ivesia gordonii",10,15,10,0,14,5,29,0,0,15,-1,1,0
2017,"50","1034*A","Ivesia gordonii",10,15,10,0,9,3,0,0,0,14,-5,1,0
2018,"50","1034*A","Ivesia gordonii",10,15,10,0,0,0,0,0,1,9,-9,0,0
2014,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,7,1,0,0,0,NA,NA,1,NA
2015,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,9,2,2,0,0,7,2,1,0
2016,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,12,3,1,0,0,9,3,1,0
2017,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,11,2,2,0,0,12,-1,1,0
2018,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,10,1,0,0,0,11,-1,1,0
2019,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,4.3,2.5,0,0,0,10,-5.7,1,0
2020,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,7,2,0,0,0,4.3,2.7,1,0
2021,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,9,1.5,0,0,0,7,2,1,0
2022,"50","1035*A","Eriogonum umbellatum",15,3,-10,-10,11,2,3,0,0,9,2,1,0
2014,"50","1036*A","Heterotheca villosa",21,2,0,10,6,5,1,0,0,NA,NA,1,NA
2015,"50","1036*A","Heterotheca villosa",21,2,0,10,4,1.5,0,0,0,6,-2,1,0
2016,"50","1036*A","Heterotheca villosa",21,2,0,10,0,0,0,0,1,4,-4,0,0
2014,"50","1037*A","Ivesia gordonii",23,1,0,10,7,3,0,0,0,NA,NA,1,NA
2015,"50","1037*A","Ivesia gordonii",23,1,0,10,9,4,1,0,0,7,2,1,0
2016,"50","1037*A","Ivesia gordonii",23,1,0,10,14,5,7,0,0,9,5,1,0
2017,"50","1037*A","Ivesia gordonii",23,1,0,10,9,4,11,0,0,14,-5,1,0
2018,"50","1037*A","Ivesia gordonii",23,1,0,10,0,0,0,0,1,9,-9,0,0
2014,"50","1038*A","Ivesia gordonii",27,3,0,10,3,3,0,0,0,NA,NA,1,NA
2015,"50","1038*A","Ivesia gordonii",27,3,0,10,9,5,1,0,0,3,6,1,0
2016,"50","1038*A","Ivesia gordonii",27,3,0,10,13,5.5,22,0,0,9,4,1,0
2017,"50","1038*A","Ivesia gordonii",27,3,0,10,10,4,0,0,0,13,-3,1,0
2018,"50","1038*A","Ivesia gordonii",27,3,0,10,0,0,0,0,1,10,-10,0,0
2014,"50","1039*A","Ivesia gordonii",52,15,-10,-10,20,4,0,0,0,NA,NA,1,NA
2015,"50","1039*A","Ivesia gordonii",52,15,-10,-10,22,6,6,0,0,20,2,1,0
2016,"50","1039*A","Ivesia gordonii",52,15,-10,-10,24,9,15,0,0,22,2,1,0
2017,"50","1039*A","Ivesia gordonii",52,15,-10,-10,19,7,26,0,0,24,-5,1,0
2018,"50","1039*A","Ivesia gordonii",52,15,-10,-10,0,0,0,0,1,19,-19,0,0
2014,"10","104*A","Lupinus argenteus",95,50,-10,-10,11,10,2,0,0,NA,NA,1,NA
2015,"10","104*A","Lupinus argenteus",95,50,-10,-10,14,8.5,2,0,0,11,3,1,0
2016,"10","104*A","Lupinus argenteus",95,50,-10,-10,15.5,10,2,0,0,14,1.5,1,0
2017,"10","104*A","Lupinus argenteus",95,50,-10,-10,0,0,0,0,1,15.5,-15.5,0,0
2014,"50","1040*A","Heterotheca villosa",57,8,-10,-10,1,1,0,0,0,NA,NA,1,NA
2015,"50","1040*A","Heterotheca villosa",57,8,-10,-10,4,2,0,0,0,1,3,1,0
2016,"50","1040*A","Heterotheca villosa",57,8,-10,-10,9,3,2,0,0,4,5,1,0
2017,"50","1040*A","Heterotheca villosa",57,8,-10,-10,11,4,7,0,0,9,2,1,0
2018,"50","1040*A","Heterotheca villosa",57,8,-10,-10,0,0,0,0,1,11,-11,0,0
2014,"50","1041*A","Ivesia gordonii",60,25,0,-10,10,4,1,0,0,NA,NA,1,NA
2015,"50","1041*A","Ivesia gordonii",60,25,0,-10,12,4,2,0,0,10,2,1,0
2016,"50","1041*A","Ivesia gordonii",60,25,0,-10,16,6,14,0,0,12,4,1,0
2017,"50","1041*A","Ivesia gordonii",60,25,0,-10,11,5,10,0,0,16,-5,1,0
2018,"50","1041*A","Ivesia gordonii",60,25,0,-10,0,0,0,0,1,11,-11,0,0
2014,"50","1042*A","Eriogonum umbellatum",50,50,-10,-10,15,2,1,0,0,NA,NA,1,NA
2015,"50","1042*A","Eriogonum umbellatum",50,50,-10,-10,11,2,1,0,0,15,-4,1,0
2016,"50","1042*A","Eriogonum umbellatum",50,50,-10,-10,2.5,2,0,0,0,11,-8.5,1,0
2017,"50","1042*A","Eriogonum umbellatum",50,50,-10,-10,0,0,0,0,1,2.5,-2.5,0,0
2014,"50","1043*A","Ivesia gordonii",98,5,0,10,12,3,1,0,0,NA,NA,1,NA
2015,"50","1043*A","Ivesia gordonii",98,5,0,10,17,5,13,0,0,12,5,1,0
2016,"50","1043*A","Ivesia gordonii",98,5,0,10,12,10,0,0,0,17,-5,1,0
2017,"50","1043*A","Ivesia gordonii",98,5,0,10,10.5,5,0,0,0,12,-1.5,1,0
2018,"50","1043*A","Ivesia gordonii",98,5,0,10,0,0,0,0,1,10.5,-10.5,0,0
2014,"50","1044*A","Ivesia gordonii",100,8,0,10,6,2,0,0,0,NA,NA,1,NA
2015,"50","1044*A","Ivesia gordonii",100,8,0,10,8,5,1,0,0,6,2,1,0
2016,"50","1044*A","Ivesia gordonii",100,8,0,10,0,0,0,0,1,8,-8,0,0
2014,"50","1045*A","Ivesia gordonii",110,5,0,10,12,5,0,0,0,NA,NA,1,NA
2015,"50","1045*A","Ivesia gordonii",110,5,0,10,9,3,7,0,0,12,-3,1,0
2016,"50","1045*A","Ivesia gordonii",110,5,0,10,0,0,0,0,1,9,-9,0,0
2014,"50","1046*A","Heterotheca villosa",165,40,-10,-10,10,4,2,0,0,NA,NA,1,NA
2015,"50","1046*A","Heterotheca villosa",165,40,-10,-10,18,4,2,0,0,10,8,1,0
2016,"50","1046*A","Heterotheca villosa",165,40,-10,-10,20,6,11,0,0,18,2,1,0
2017,"50","1046*A","Heterotheca villosa",165,40,-10,-10,0,0,0,0,1,20,-20,0,0
2014,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,37,2,3,0,0,NA,NA,1,NA
2015,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,36,2,0,0,0,37,-1,1,0
2016,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,27,4,4,0,0,36,-9,1,0
2017,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,22.5,2.5,2,0,0,27,-4.5,1,0
2018,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,8.5,1.5,0,0,0,22.5,-14,1,0
2019,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,6,5.5,0,0,0,8.5,-2.5,1,0
2020,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,3.5,3.5,0,0,0,6,-2.5,1,0
2021,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,4,4,0,0,0,3.5,0.5,1,0
2022,"50","1047*A","Eriogonum umbellatum",163,57,-5,-5,5,4.5,1,0,0,4,1,1,0
2014,"50","1048*A","Elymus lanceolatus",167,82,-10,-10,12,18,7,0,0,NA,NA,1,NA
2015,"50","1048*A","Elymus lanceolatus",167,82,-10,-10,20,12,2,0,0,12,8,1,0
2016,"50","1048*A","Elymus lanceolatus",167,82,-10,-10,20,20,9,0,0,20,0,1,0
2017,"50","1048*A","Elymus lanceolatus",167,82,-10,-10,20,13,3,0,0,20,0,1,0
2018,"50","1048*A","Elymus lanceolatus",167,82,-10,-10,16,13.5,7,0,0,20,-4,1,0
2019,"50","1048*A","Elymus lanceolatus",167,82,-10,-10,23,17.5,5,0,0,16,7,1,0
2020,"50","1048*A","Elymus lanceolatus",167,82,-10,-10,0,0,0,0,1,23,-23,0,0
2014,"50","1049*A","Eriogonum umbellatum",10,185,-10,-10,38,2,9,0,0,NA,NA,1,NA
2015,"50","1049*A","Eriogonum umbellatum",10,185,-10,-10,38,3,51,0,0,38,0,1,0
2016,"50","1049*A","Eriogonum umbellatum",10,185,-10,-10,40,3,13,0,0,38,2,1,0
2017,"50","1049*A","Eriogonum umbellatum",10,185,-10,-10,35.5,2,6,0,0,40,-4.5,1,0
2018,"50","1049*A","Eriogonum umbellatum",10,185,-10,-10,31,1.5,0,0,0,35.5,-4.5,1,0
2019,"50","1049*A","Eriogonum umbellatum",10,185,-10,-10,0,0,0,0,1,31,-31,0,0
2014,"10","105*A","Lupinus argenteus",80,45,-10,-10,13,13,2,0,0,NA,NA,1,NA
2015,"10","105*A","Lupinus argenteus",80,45,-10,-10,11.5,9.5,1,0,0,13,-1.5,1,0
2016,"10","105*A","Lupinus argenteus",80,45,-10,-10,0,0,0,0,0,11.5,-11.5,1,0
2017,"10","105*A","Lupinus argenteus",80,45,-10,-10,8,6,0,0,0,0,8,1,0
